school_year,school_code,school_name,school_lvl,school_poverty_quartile,sch_avg_prior_math_qrt,sch_avg_prior_ela_qrt
2017-2018,475,Poplar Middle School,Mid,Highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2018-2019,475,Poplar Middle School,Mid,Second-highest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-lowest prior year ELA scores
2014-2015,252,Bells Elementary School,Elem,Highest percentage of FRPL-eligible students,,
2014-2015,490,Hickory Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Lowest average prior year math scores,Second-lowest prior year ELA scores
2016-2017,455,Willow Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-lowest prior year math scores,Second-highest prior year ELA scores
2017-2018,460,Spruce Middle School,Mid,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2018-2019,460,Spruce Middle School,Mid,Highest percentage of FRPL-eligible students,Lowest average prior year math scores,Lowest average prior year ELA scores
2014-2015,405,Birch Middle School,Mid,Second-highest percentage of FRPL-eligible students,,
2015-2016,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Highest prior year ELA scores
2016-2017,485,Dogwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,435,Redwood Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2018-2019,490,Hickory Middle School,Mid,Lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,407,Apple Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,407,Apple Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Second-highest prior year ELA scores
2016-2017,407,Apple Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,407,Apple Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Second-highest prior year math scores,Second-highest prior year ELA scores
2014-2015,425,Fir Middle School,Mid,Second-lowest percentage of FRPL-eligible students,,
2015-2016,425,Fir Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,425,Fir Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,425,Fir Middle School,Mid,Second-lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2018-2019,425,Fir Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2014-2015,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,,
2015-2016,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2016-2017,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
2017-2018,430,Forest Middle School,Mid,Lowest percentage of FRPL-eligible students,Highest prior year math scores,Highest prior year ELA scores
